model,beta,mu,mse_infected,mae_infected,rmse_infected,mape_infected,curve_accuracy,r2_infected,peak_infected_error,time_to_peak_error,final_infected_error,rss_infected,aic_infected,bic_infected,mse_recovered,mae_recovered,r2_recovered,sigma,gamma
SEIR,0.02,,266.953635620915,10.722222222222223,16.338715849812523,0.32753853119524723,0.6724614688047528,0.40117577770362955,23.833333333333336,6.0,1.3333333333333335,13614.635416666666,290.94082469204085,296.7363015902138,277.55106209150324,11.758169934640522,0.9524301665715146,0.34,0.22
SEIR,0.02,,65.63337418300654,6.1781045751634,8.101442722318447,0.2120133771591881,0.7879866228408119,0.85277273276159,13.333333333333329,2.0,0.9166666666666665,3347.3020833333335,219.3883002878166,225.18377718598958,246.14855664488022,13.174836601307192,0.9578122823597817,0.5,0.14
SEIR,0.02,,59.95349945533768,5.684640522875816,7.742964513371973,0.26974568758620954,0.7302543124137905,0.8655136964073035,6.916666666666671,2.0,2.5,3057.6284722222217,214.77203188614976,220.56750878432274,117.14651416122005,9.117647058823529,0.97992210830186,0.5,0.18
SEIR,0.02,,138.44723583877996,10.117647058823529,11.766360347991215,0.42109314995713687,0.5789068500428631,0.6894383620683524,19.333333333333336,2.0,2.916666666666667,7060.809027777777,257.4549535027335,263.25043040090645,58.24645969498912,6.3921568627451,0.9900170643750729,0.5,0.22
SEIR,0.02,,79.30644063180827,6.0441176470588225,8.905416364876393,0.2401923573477972,0.7598076426522028,0.8221016262843692,22.08333333333333,1.0,2.75,4044.628472222222,229.03928653904063,234.8347634372136,456.53077342047936,17.856209150326798,0.9217546037008855,0.75,0.14
SEIR,0.02,,39.86594498910675,5.495098039215685,6.31394844682048,0.3338494650939369,0.666150534906063,0.9105736340743756,2.750000000000007,1.0,3.3333333333333335,2033.1631944444443,193.96164497063674,199.75712186880972,224.44267429193906,12.132352941176473,0.9615324814473546,0.75,0.18
SEIR,0.02,,145.3207380174292,10.839869281045752,12.05490514344386,0.4719138150798883,0.5280861849201117,0.674019880926455,16.833333333333336,1.0,3.3333333333333335,7411.357638888889,259.9261075812879,265.7215844794609,124.80351307189545,9.173202614379086,0.9786097654125978,0.75,0.22
SEIR,0.02,,81.55889161220044,6.331699346405229,9.030996158353764,0.2597093564864701,0.7402906435135299,0.8170489803316112,21.5,0.0,2.166666666666667,4159.503472222223,230.46759314418864,236.26307004236162,482.4974128540305,18.27777777777778,0.9173041479784557,1.0,0.14
SEIR,0.02,,71.7154820261438,7.192810457516339,8.468499396359652,0.39689319068480156,0.6031068093151984,0.839129489092636,6.666666666666657,2.0,3.3333333333333335,3657.489583333334,223.90803925897345,229.70351615714642,684.8933823529413,22.369281045751627,0.8826152425096456,1.0,0.18
SEIR,0.02,,130.74680010893243,10.475490196078429,11.434456703706234,0.47709814538267975,0.5229018546173203,0.7067118014299996,13.833333333333336,0.0,3.6666666666666665,6668.086805555554,254.53639409385679,260.33187099202974,160.20915032679738,10.385620915032678,0.9725415477161734,1.0,0.22
SEIR,0.022,,226.51531862745094,12.681372549019608,15.050425861996429,0.519751172375986,0.480248827624014,0.49188607527369954,7.166666666666657,6.0,0.916666666666667,11552.281249999998,282.56344130181697,288.35891819998994,381.5434368191722,16.405228758169937,0.9346067797455008,0.28,0.14
SEIR,0.022,,230.92436002178653,11.117647058823529,15.196195577241909,0.3630389836145956,0.6369610163854045,0.4819958155741285,15.166666666666671,7.0,0.75,11777.142361111113,283.5466007664357,289.34207766460867,359.02301198257084,15.199346405228765,0.9384665843167499,0.28,0.18
SEIR,0.022,,272.703635620915,10.748366013071895,16.513740812454184,0.2985109935587131,0.7014890064412869,0.38827751066862404,25.083333333333336,7.0,1.9166666666666665,13907.885416666666,292.0276667070004,297.82314360517336,283.61683006535947,12.475490196078429,0.9513905467986418,0.28,0.22
SEIR,0.022,,138.87942538126362,9.352941176470587,11.784711510311299,0.32632195017107507,0.673678049828925,0.6884688844807539,12.666666666666657,3.0,0.5833333333333335,7082.850694444444,257.61391178257264,263.4093886807456,242.27464596949892,13.457516339869285,0.9584762368918092,0.34,0.14
SEIR,0.022,,132.03070533769062,8.187908496732026,11.490461493677728,0.28644601175355533,0.7135539882464447,0.7038317749103191,10.916666666666671,3.0,0.9166666666666665,6733.565972222222,255.03476009823225,260.83023699640523,209.1699346405229,12.3562091503268,0.9641500959350807,0.34,0.18
SEIR,0.022,,162.4933959694989,9.69281045751634,12.747289749962496,0.37126451523453735,0.6287354847654627,0.6354985717148713,16.500000000000007,2.0,2.583333333333333,8287.163194444443,265.62250539856916,271.41798229674214,104.0398965141613,9.003267973856211,0.982168468353892,0.34,0.22
SEIR,0.022,,82.2192946623094,6.06372549019608,9.067485575522543,0.21364019941215648,0.7863598005878435,0.815567579480996,22.5,1.0,1.5,4193.184027777779,230.87889014125508,236.67436703942806,465.5449346405229,18.111111111111114,0.9202096550182765,0.5,0.14
